Employee_ID,Employee_Name,Gender,Age,Date_of_Joining,Years_at_Company,Monthly_Income,Annual_Income,Department,Job_Role,Position,Employment_Type,Work_Location,State,City,Distance_from_Home,Education_Level,Education_Field,Caste/Religion,Marital_Status,Performance_Score,Last_3_Year_Rating,Attrition_Status,Attrition_Reason,Attrition_Date,Onboarding_Status,New_Hires_Joining_Month,Environment_Satisfaction,Employee_Cost_to_Company,Hourly_Rate,Annual_HR_Feedback_Satisfaction_Score,Yearly_Total_Training_Hours
1014,Employee_14,Male,35,2024-03-15,9,54293,651516,Marketing,Assistant,Lead,Contract,HQ,Uttar Pradesh,City_21,47,PhD,Engineering,Muslim,Single,B,Developer,No,N/A,N/A,Accepted,3,Medium,1285357,204,2,153
1015,Employee_15,Male,38,2020-02-01,2,63042,756504,Supply Chain,Analyst,Senior,Full-time,HQ,West Bengal,City_29,13,Graduate,Management,Hindu,Married,A+,High Impact,No,N/A,N/A,Rolled out,10,High,824922,829,4,20
1016,Employee_16,Male,40,2020-04-10,5,125454,1505448,Marketing,Technician,Senior,Full-time,HQ,West Bengal,City_46,44,PhD,Arts,Jain,Married,A,Contributor,No,N/A,N/A,Rejected,8,High,1087842,959,2,41
1017,Employee_17,Male,54,2022-08-07,9,27792,333504,Sales,Specialist,Senior,Full-time,HQ,Uttar Pradesh,City_22,14,PhD,Others,Jain,Married,A*,Developer,No,N/A,N/A,Rolled out,11,Low,1890068,245,4,35
1018,Employee_18,Male,22,2021-12-16,7,26604,319248,Customer Support,Executive,Lead,Full-time,Remote,Rajasthan,City_43,9,PhD,Arts,Jain,Divorced,B,Future Star,No,N/A,N/A,Rolled out,10,Medium,744632,304,3,144
1019,Employee_19,Male,34,2020-04-18,9,67821,813852,Finance,Executive,Mid-Level,Full-time,HQ,Uttar Pradesh,City_47,42,PhD,Science,Sikh,Divorced,B,Star,No,N/A,N/A,Rolled out,2,Very High,1159888,791,2,183
1020,Employee_20,Male,48,2020-10-25,6,58557,702684,Customer Support,Assistant,Lead,Contract,HQ,Gujarat,City_17,38,High School,Commerce,Muslim,Divorced,A*,High Impact,No,N/A,N/A,Accepted,3,Medium,1764118,785,1,44
1021,Employee_21,Male,27,2024-09-19,7,27420,329040,Operations,Executive,Senior,Contract,HQ,Madhya Pradesh,City_20,19,Postgraduate,Science,Christian,Divorced,A*,High Impact,Yes,Terminate - Absconding,2024-02-19,Accepted,8,Very High,1064312,425,1,54
1022,Employee_22,Male,27,2023-02-17,5,58521,702252,Finance,Technician,Mid-Level,Full-time,HQ,Gujarat,City_26,42,Graduate,Management,Hindu,Married,A+,Future Star,No,N/A,N/A,Rolled out,12,Very High,2130190,761,3,43
1023,Employee_23,Male,54,2020-08-19,6,81951,983412,Marketing,Supervisor,Junior,Full-time,Remote,Madhya Pradesh,City_22,47,Postgraduate,Management,Muslim,Divorced,A*,Future Star,No,N/A,N/A,Rolled out,7,High,1504661,260,4,37
1024,Employee_24,Male,51,2023-09-25,1,143951,1727412,IT,Specialist,Mid-Level,Full-time,HQ,Punjab,City_37,8,High School,Others,Jain,Married,A*,Developer,No,N/A,N/A,Pending,7,Medium,703566,563,2,68
1025,Employee_25,Male,56,2020-12-23,1,133848,1606176,IT,Manager,Lead,Full-time,Remote,Maharashtra,City_34,18,PhD,Arts,Buddhist,Divorced,A,Solid Contributor,No,N/A,N/A,Pending,4,Low,1758884,949,3,85
1026,Employee_26,Female,44,2023-11-28,2,43018,516216,Finance,Technician,Senior,Full-time,HQ,Tamil Nadu,City_17,34,Diploma,Others,Muslim,Divorced,A,Actionable,Yes,Resign - Job not interesting,2022-02-14,Pending,12,Very High,2303164,436,4,100
1027,Employee_27,Male,31,2023-05-17,4,145200,1742400,IT,Coordinator,Junior,Full-time,Remote,Uttar Pradesh,City_20,36,Diploma,Others,Hindu,Divorced,B,High Impact,No,N/A,N/A,Rolled out,4,Low,1164342,247,2,154
1028,Employee_28,Male,40,2022-12-13,9,83076,996912,Finance,Executive,Junior,Full-time,Remote,Tamil Nadu,City_8,9,Postgraduate,Engineering,Buddhist,Single,A+,Developer,No,N/A,N/A,Accepted,3,High,1733120,945,2,34
1029,Employee_29,Male,49,2022-10-22,7,25108,301296,HR,Specialist,Senior,Full-time,Remote,Karnataka,City_27,16,Diploma,Science,Christian,Single,A+,Solid Contributor,No,N/A,N/A,Rolled out,12,Low,1097900,494,3,22
1030,Employee_30,Male,44,2022-02-05,6,112686,1352232,Supply Chain,Manager,Junior,Full-time,HQ,West Bengal,City_20,5,Postgraduate,Management,Buddhist,Single,A,Contributor,No,N/A,N/A,Rejected,12,Medium,1779331,757,2,145
1031,Employee_31,Male,25,2022-04-14,1,90783,1089396,Finance,Analyst,Junior,Contract,Remote,Maharashtra,City_3,15,Graduate,Commerce,Hindu,Married,A*,Future Star,No,N/A,N/A,Pending,10,Very High,2175722,454,2,89
1032,Employee_32,Male,41,2021-08-19,5,93937,1127244,HR,Supervisor,Junior,Contract,HQ,West Bengal,City_7,24,Diploma,Science,Buddhist,Divorced,B,High Impact,No,N/A,N/A,Rolled out,12,High,1585871,276,4,143
1033,Employee_33,Male,40,2024-08-15,4,37007,444084,Operations,Technician,Lead,Full-time,HQ,Rajasthan,City_11,47,PhD,Commerce,Jain,Single,A*,Learner,No,N/A,N/A,Rejected,1,Very High,1312624,830,2,33
1034,Employee_34,Female,48,2024-04-14,5,29997,359964,Marketing,Supervisor,Mid-Level,Contract,HQ,Madhya Pradesh,City_26,44,High School,Others,Hindu,Married,A*,High Impact,No,N/A,N/A,Rejected,4,Medium,1226176,754,2,101
1035,Employee_35,Female,55,2024-04-16,9,25261,303132,IT,Technician,Lead,Full-time,Remote,Punjab,City_32,48,Graduate,Commerce,Buddhist,Single,A,Future Star,No,N/A,N/A,Pending,10,Very High,1693322,762,4,99
1036,Employee_36,Female,25,2021-07-16,3,89804,1077648,Operations,Technician,Junior,Full-time,HQ,Uttar Pradesh,City_4,43,Diploma,Arts,Sikh,Married,A*,Contributor,No,N/A,N/A,Rolled out,11,Very High,1609676,755,4,64
1037,Employee_37,Male,59,2021-11-06,4,91520,1098240,Operations,Supervisor,Lead,Full-time,Remote,Delhi,City_23,39,Diploma,Arts,Christian,Married,A,Learner,No,N/A,N/A,Rolled out,1,Low,752378,220,4,152
1038,Employee_38,Male,28,2020-02-21,8,138437,1661244,Customer Support,Technician,Junior,Full-time,HQ,Tamil Nadu,City_1,25,Postgraduate,Commerce,Christian,Single,A+,Future Star,No,N/A,N/A,Pending,10,High,1302552,883,4,169
1039,Employee_39,Male,28,2021-09-03,3,40926,491112,Customer Support,Analyst,Lead,Full-time,HQ,Rajasthan,City_49,16,Graduate,Science,Christian,Married,B,Actionable,No,N/A,N/A,Rejected,8,Low,1816164,881,1,73
1040,Employee_40,Male,47,2023-06-19,3,117398,1408776,Marketing,Assistant,Mid-Level,Part-time,HQ,Karnataka,City_43,42,High School,Arts,Sikh,Single,A*,Contributor,No,N/A,N/A,Rolled out,7,Medium,634881,495,3,190
1041,Employee_41,Male,47,2022-06-01,9,117994,1415928,Sales,Supervisor,Senior,Full-time,HQ,Rajasthan,City_37,22,High School,Science,Christian,Divorced,B,Star,No,N/A,N/A,Rolled out,11,High,2324772,614,3,182
1042,Employee_42,Male,40,2022-11-26,5,85546,1026552,Supply Chain,Coordinator,Mid-Level,Full-time,HQ,Gujarat,City_20,16,Postgraduate,Arts,Buddhist,Divorced,A,Reliable Professional,No,N/A,N/A,Rejected,6,Low,1075292,607,3,170
1043,Employee_43,Male,30,2021-09-14,1,37144,445728,Sales,Specialist,Lead,Full-time,HQ,Karnataka,City_30,33,Postgraduate,Engineering,Jain,Married,B,Developer,No,N/A,N/A,Pending,9,Low,1492079,987,2,133
1044,Employee_44,Female,41,2023-06-26,7,45903,550836,Operations,Specialist,Lead,Full-time,HQ,Karnataka,City_47,5,Postgraduate,Management,Muslim,Single,A*,Contributor,No,N/A,N/A,Rolled out,10,Very High,1622822,938,4,163
1045,Employee_45,Male,37,2023-02-28,7,148759,1785108,Operations,Executive,Mid-Level,Full-time,Remote,Karnataka,City_46,7,Diploma,Engineering,Jain,Divorced,A,High Impact,No,N/A,N/A,Accepted,9,High,2341200,203,4,52
1046,Employee_46,Male,38,2022-03-22,6,21177,254124,Customer Support,Manager,Lead,Part-time,HQ,Maharashtra,City_15,18,Graduate,Engineering,Other,Married,A*,Solid Contributor,No,N/A,N/A,Pending,4,Very High,907296,452,1,173
1047,Employee_47,Male,43,2021-01-22,6,112482,1349784,Marketing,Coordinator,Senior,Full-time,HQ,Gujarat,City_36,6,High School,Management,Sikh,Divorced,A+,Reliable Professional,No,N/A,N/A,Rejected,6,High,2037945,510,3,20
1048,Employee_48,Male,34,2024-06-12,3,80952,971424,Supply Chain,Manager,Senior,Part-time,HQ,Rajasthan,City_35,49,PhD,Arts,Other,Single,A+,Future Star,No,N/A,N/A,Rejected,1,High,1764141,207,1,45
1049,Employee_49,Male,33,2022-08-14,3,29168,350016,Finance,Technician,Mid-Level,Full-time,HQ,Gujarat,City_28,12,High School,Arts,Sikh,Married,A,Reliable Professional,No,N/A,N/A,Rolled out,8,Very High,594376,855,4,165
1050,Employee_50,Male,31,2022-09-10,9,137180,1646160,Finance,Technician,Junior,Part-time,Remote,Delhi,City_13,44,Graduate,Engineering,Hindu,Married,A,Solid Contributor,No,N/A,N/A,Rolled out,6,Medium,1629572,255,2,151
1051,Employee_51,Female,22,2022-04-01,1,22389,268668,Supply Chain,Technician,Senior,Part-time,Remote,Madhya Pradesh,City_35,33,Postgraduate,Arts,Sikh,Married,B,Actionable,No,N/A,N/A,Rolled out,12,Medium,1778065,484,4,168
1052,Employee_52,Female,53,2022-05-18,7,26364,316368,IT,Coordinator,Lead,Full-time,HQ,Karnataka,City_1,34,Diploma,Commerce,Christian,Married,A+,Actionable,No,N/A,N/A,Accepted,4,Low,708807,338,4,191
1053,Employee_53,Female,51,2022-08-18,7,149133,1789596,Marketing,Specialist,Junior,Full-time,HQ,West Bengal,City_18,21,High School,Commerce,Sikh,Married,A,Future Star,Yes,Superannuation,2024-04-10,Pending,9,Low,1436516,658,4,75
1054,Employee_54,Female,29,2021-10-09,8,47033,564396,Sales,Specialist,Senior,Full-time,HQ,Karnataka,City_26,18,PhD,Arts,Sikh,Divorced,B,Contributor,No,N/A,N/A,Rejected,8,Low,1296206,888,3,53
1055,Employee_55,Male,42,2020-11-17,6,68545,822540,Marketing,Coordinator,Junior,Full-time,HQ,Tamil Nadu,City_43,14,Diploma,Commerce,Buddhist,Married,A+,Reliable Professional,No,N/A,N/A,Pending,4,Very High,1214788,631,2,154
1056,Employee_56,Female,43,2021-04-01,8,31865,382380,Marketing,Manager,Lead,Full-time,HQ,Karnataka,City_9,42,High School,Management,Buddhist,Divorced,A*,Reliable Professional,No,N/A,N/A,Rolled out,4,Medium,552884,621,2,102
1057,Employee_57,Male,39,2024-01-26,1,38936,467232,Supply Chain,Assistant,Mid-Level,Full-time,HQ,Rajasthan,City_34,30,Graduate,Engineering,Jain,Divorced,A+,Reliable Professional,Yes,Misconduct Related,2022-06-03,Rejected,4,Medium,1489729,426,2,82
1058,Employee_58,Male,23,2022-10-24,1,148776,1785312,Supply Chain,Analyst,Mid-Level,Part-time,HQ,Punjab,City_29,46,High School,Arts,Sikh,Married,A*,Actionable,No,N/A,N/A,Rolled out,1,High,636800,549,1,10
1059,Employee_59,Male,30,2024-10-05,9,97863,1174356,Customer Support,Analyst,Lead,Part-time,Remote,Uttar Pradesh,City_31,3,PhD,Others,Christian,Married,A,Developer,No,N/A,N/A,Pending,11,Low,1283799,439,3,74
1060,Employee_60,Male,24,2020-09-01,4,117788,1413456,IT,Technician,Mid-Level,Full-time,Remote,West Bengal,City_19,13,Diploma,Engineering,Other,Single,B,Solid Contributor,No,N/A,N/A,Accepted,3,Medium,1275894,568,2,73
1061,Employee_61,Male,47,2022-07-25,3,136170,1634040,Finance,Executive,Lead,Full-time,HQ,West Bengal,City_36,37,High School,Management,Buddhist,Single,A+,Reliable Professional,No,N/A,N/A,Rejected,9,Medium,1878802,934,2,15
1062,Employee_62,Male,42,2024-12-25,6,120614,1447368,Operations,Executive,Mid-Level,Full-time,HQ,Madhya Pradesh,City_34,19,PhD,Engineering,Muslim,Single,A*,Reliable Professional,No,N/A,N/A,Accepted,11,Medium,968869,829,3,191
1063,Employee_63,Female,51,2024-12-18,9,23741,284892,Sales,Assistant,Senior,Part-time,Remote,Karnataka,City_9,37,High School,Arts,Buddhist,Divorced,A+,Future Star,No,N/A,N/A,Accepted,12,Low,1548409,875,4,99
1064,Employee_64,Male,49,2024-06-14,4,125589,1507068,IT,Manager,Mid-Level,Part-time,HQ,Maharashtra,City_18,13,High School,Management,Hindu,Single,A*,Solid Contributor,No,N/A,N/A,Pending,3,Very High,1949120,640,4,124
1065,Employee_65,Male,57,2021-04-08,9,109537,1314444,Supply Chain,Assistant,Junior,Full-time,Remote,Uttar Pradesh,City_5,15,Postgraduate,Others,Hindu,Divorced,A,Actionable,No,N/A,N/A,Accepted,6,Very High,937674,640,3,159
1066,Employee_66,Male,47,2023-11-06,5,23839,286068,Sales,Specialist,Mid-Level,Full-time,HQ,Rajasthan,City_41,26,PhD,Management,Other,Divorced,A,High Impact,No,N/A,N/A,Pending,5,Medium,1700598,927,2,109
1067,Employee_67,Male,55,2024-04-10,7,125885,1510620,Sales,Manager,Mid-Level,Full-time,HQ,Rajasthan,City_21,6,High School,Commerce,Sikh,Divorced,A+,High Impact,No,N/A,N/A,Accepted,9,Very High,612628,800,2,13
1068,Employee_68,Female,29,2021-02-26,3,39139,469668,Finance,Coordinator,Mid-Level,Part-time,HQ,Uttar Pradesh,City_8,27,Diploma,Arts,Sikh,Married,A*,Learner,No,N/A,N/A,Rejected,2,Low,566786,523,1,25
1069,Employee_69,Male,31,2024-04-02,3,66905,802860,Operations,Technician,Mid-Level,Full-time,Remote,Tamil Nadu,City_35,12,Graduate,Management,Other,Divorced,A,Future Star,No,N/A,N/A,Accepted,4,Medium,2258441,697,1,97
1070,Employee_70,Female,35,2023-04-24,3,110934,1331208,Operations,Analyst,Senior,Full-time,Remote,Tamil Nadu,City_29,48,Postgraduate,Management,Christian,Single,B,Actionable,No,N/A,N/A,Rolled out,3,Low,2019990,788,2,184
1071,Employee_71,Female,36,2021-12-04,8,72749,872988,Customer Support,Executive,Lead,Full-time,HQ,Karnataka,City_27,25,Postgraduate,Others,Jain,Single,B,Developer,No,N/A,N/A,Pending,10,High,2428993,632,1,90
1072,Employee_72,Male,38,2021-03-27,6,45036,540432,Finance,Supervisor,Senior,Full-time,HQ,Karnataka,City_40,47,Postgraduate,Others,Other,Single,A*,Contributor,No,N/A,N/A,Accepted,8,Medium,1339444,860,1,87
1073,Employee_73,Male,39,2023-08-18,9,123541,1482492,IT,Manager,Senior,Full-time,HQ,Karnataka,City_23,16,Graduate,Engineering,Jain,Single,A,Future Star,No,N/A,N/A,Pending,3,Low,1765594,864,1,37
1074,Employee_74,Female,53,2024-11-06,9,65272,783264,HR,Manager,Junior,Full-time,HQ,Gujarat,City_46,46,PhD,Commerce,Muslim,Divorced,A*,Contributor,No,N/A,N/A,Rolled out,12,Medium,1761763,484,3,157
1075,Employee_75,Female,59,2021-02-28,8,21740,260880,IT,Coordinator,Lead,Part-time,Remote,Punjab,City_30,16,Diploma,Engineering,Christian,Single,A*,Reliable Professional,No,N/A,N/A,Rolled out,7,Very High,864885,433,2,24
1076,Employee_76,Female,44,2024-06-19,1,104044,1248528,IT,Technician,Lead,Full-time,HQ,Madhya Pradesh,City_28,3,Graduate,Management,Christian,Divorced,B,Learner,No,N/A,N/A,Rolled out,12,Low,1444116,399,2,106
1077,Employee_77,Female,44,2022-11-21,6,78788,945456,HR,Technician,Junior,Full-time,Remote,Punjab,City_35,34,Diploma,Management,Jain,Married,A*,High Impact,No,N/A,N/A,Rolled out,1,Very High,1840855,240,4,30
1078,Employee_78,Male,56,2020-07-11,4,51611,619332,Sales,Specialist,Lead,Full-time,Remote,Gujarat,City_24,24,Diploma,Engineering,Other,Single,B,Developer,No,N/A,N/A,Rejected,9,Very High,892659,428,2,43
1079,Employee_79,Male,36,2024-11-07,4,90827,1089924,Marketing,Technician,Mid-Level,Part-time,HQ,Rajasthan,City_8,42,Postgraduate,Engineering,Hindu,Divorced,A*,High Impact,No,N/A,N/A,Accepted,1,Low,712305,380,2,181
1080,Employee_80,Male,45,2022-12-12,3,51109,613308,HR,Specialist,Lead,Full-time,Remote,West Bengal,City_35,46,High School,Management,Jain,Divorced,A,Contributor,No,N/A,N/A,Rolled out,11,Low,1328666,472,1,18
1081,Employee_81,Female,49,2020-02-02,9,39481,473772,Marketing,Technician,Junior,Full-time,HQ,Karnataka,City_12,23,Diploma,Management,Other,Divorced,B,Contributor,No,N/A,N/A,Rolled out,4,Low,2247974,491,4,83
1082,Employee_82,Male,37,2022-06-19,2,25247,302964,Supply Chain,Supervisor,Junior,Full-time,HQ,Rajasthan,City_49,30,Diploma,Commerce,Jain,Single,A*,Contributor,No,N/A,N/A,Accepted,3,Very High,1714545,863,1,141
1083,Employee_83,Male,37,2023-07-09,1,73621,883452,Sales,Technician,Junior,Full-time,HQ,West Bengal,City_14,49,Diploma,Management,Muslim,Single,A*,Star,Yes,Misconduct Related,2024-03-13,Pending,8,High,2298878,654,1,103
1084,Employee_84,Male,27,2022-12-12,3,127149,1525788,HR,Analyst,Junior,Full-time,Remote,Madhya Pradesh,City_24,21,Diploma,Others,Other,Single,A+,Developer,No,N/A,N/A,Accepted,6,Medium,1875299,682,4,47
1085,Employee_85,Male,23,2020-01-19,4,41383,496596,Finance,Assistant,Senior,Full-time,HQ,Uttar Pradesh,City_26,17,Postgraduate,Management,Other,Divorced,A,Solid Contributor,No,N/A,N/A,Pending,11,Medium,1125480,706,2,90
1086,Employee_86,Male,34,2024-09-22,4,84535,1014420,IT,Assistant,Lead,Full-time,Remote,Gujarat,City_12,18,Diploma,Arts,Jain,Divorced,A+,High Impact,No,N/A,N/A,Accepted,7,Low,1216214,826,3,53
1087,Employee_87,Female,30,2022-05-26,6,130037,1560444,HR,Executive,Senior,Contract,Remote,Maharashtra,City_28,3,High School,Science,Other,Married,A+,Future Star,No,N/A,N/A,Pending,2,High,952916,333,1,66
1088,Employee_88,Male,55,2024-01-20,1,45319,543828,HR,Specialist,Junior,Full-time,HQ,Rajasthan,City_16,47,PhD,Science,Other,Divorced,A*,Reliable Professional,No,N/A,N/A,Accepted,6,Low,1580686,461,4,32
1089,Employee_89,Female,38,2020-12-20,1,59334,712008,Sales,Specialist,Junior,Full-time,HQ,Gujarat,City_33,12,PhD,Management,Muslim,Divorced,B,Learner,No,N/A,N/A,Pending,3,Low,1912091,267,2,108
1090,Employee_90,Male,48,2024-05-19,2,43728,524736,Finance,Supervisor,Senior,Full-time,HQ,Gujarat,City_12,16,Diploma,Commerce,Buddhist,Married,A+,Contributor,No,N/A,N/A,Pending,7,Low,2434303,250,2,161
1091,Employee_91,Male,50,2024-08-17,4,119156,1429872,HR,Specialist,Mid-Level,Contract,Remote,Gujarat,City_47,38,Postgraduate,Arts,Sikh,Single,B,Star,No,N/A,N/A,Rolled out,12,Low,1500954,658,2,34
1092,Employee_92,Female,58,2020-07-20,7,50442,605304,Supply Chain,Assistant,Lead,Full-time,HQ,Gujarat,City_14,14,High School,Management,Other,Divorced,A*,Solid Contributor,No,N/A,N/A,Accepted,8,Medium,2045670,217,4,160
1093,Employee_93,Female,43,2023-02-22,6,106846,1282152,Finance,Manager,Senior,Contract,HQ,Maharashtra,City_12,27,High School,Arts,Sikh,Married,A+,High Impact,No,N/A,N/A,Rejected,8,Medium,1217291,820,1,107
1094,Employee_94,Male,45,2024-08-04,9,62521,750252,Marketing,Technician,Lead,Full-time,Remote,Madhya Pradesh,City_2,18,Diploma,Engineering,Hindu,Divorced,A,Actionable,No,N/A,N/A,Rolled out,11,Low,2461831,980,2,88
1095,Employee_95,Female,28,2021-11-23,7,84777,1017324,HR,Technician,Junior,Full-time,HQ,Gujarat,City_40,20,Postgraduate,Commerce,Hindu,Married,A,Solid Contributor,Yes,Superannuation,2021-06-22,Rejected,11,High,1413726,305,4,20
1096,Employee_96,Male,55,2023-08-28,5,106988,1283856,Supply Chain,Specialist,Junior,Part-time,HQ,Gujarat,City_50,35,PhD,Science,Buddhist,Single,A+,Solid Contributor,No,N/A,N/A,Pending,1,Medium,1586673,277,3,65
1097,Employee_97,Male,33,2022-01-14,6,32137,385644,Finance,Assistant,Junior,Full-time,HQ,Maharashtra,City_18,17,Graduate,Arts,Buddhist,Divorced,A+,High Impact,No,N/A,N/A,Pending,9,Very High,1805887,245,2,172
1098,Employee_98,Male,44,2024-11-19,9,63636,763632,IT,Coordinator,Lead,Full-time,Remote,Uttar Pradesh,City_7,20,Diploma,Others,Christian,Married,A,Learner,Yes,Encouraged to leave,2023-05-19,Rejected,5,Low,895213,577,1,64
1099,Employee_99,Male,36,2024-02-23,1,34905,418860,Sales,Assistant,Lead,Full-time,HQ,Punjab,City_47,6,Diploma,Others,Sikh,Single,A*,Solid Contributor,No,N/A,N/A,Rolled out,11,Medium,1742777,348,4,64
1100,Employee_100,Male,54,2020-06-12,9,107309,1287708,Operations,Analyst,Senior,Full-time,HQ,Rajasthan,City_34,26,Diploma,Management,Buddhist,Married,B,High Impact,No,N/A,N/A,Pending,6,High,1483603,209,3,83
1101,Employee_101,Male,34,2023-03-18,6,50024,600288,Finance,Specialist,Junior,Full-time,HQ,West Bengal,City_20,7,Postgraduate,Engineering,Muslim,Married,B,Solid Contributor,Yes,Termination – Non Performance,2022-10-01,Pending,2,Medium,2234188,869,1,12
1102,Employee_102,Male,44,2022-04-05,4,84966,1019592,Sales,Supervisor,Senior,Full-time,HQ,Maharashtra,City_2,38,Graduate,Commerce,Christian,Divorced,A+,Developer,No,N/A,N/A,Rejected,9,High,1805200,511,2,100
1103,Employee_103,Male,59,2022-09-07,5,37702,452424,Operations,Executive,Mid-Level,Full-time,HQ,West Bengal,City_37,12,Postgraduate,Others,Christian,Single,A*,Star,No,N/A,N/A,Pending,1,Low,2163745,614,1,192
1104,Employee_104,Male,53,2023-08-11,1,36505,438060,Supply Chain,Supervisor,Junior,Full-time,Remote,Karnataka,City_28,17,Diploma,Arts,Sikh,Divorced,B,Contributor,Yes,Encouraged to leave,2023-12-14,Rejected,12,Low,2449857,701,3,19
1105,Employee_105,Female,56,2022-09-26,7,89790,1077480,HR,Manager,Junior,Part-time,HQ,Karnataka,City_3,21,Graduate,Engineering,Sikh,Single,A*,Contributor,No,N/A,N/A,Accepted,6,Medium,1479049,375,4,147
1106,Employee_106,Male,22,2020-12-13,8,81071,972852,HR,Technician,Mid-Level,Full-time,Remote,Delhi,City_39,6,High School,Others,Sikh,Divorced,A*,Actionable,No,N/A,N/A,Accepted,11,Low,2287474,407,1,10
1107,Employee_107,Male,26,2020-06-14,5,134543,1614516,Marketing,Coordinator,Senior,Full-time,Remote,Delhi,City_29,47,High School,Arts,Hindu,Single,A,Star,No,N/A,N/A,Pending,1,Medium,1537673,589,4,82
1108,Employee_108,Female,34,2022-10-22,2,28498,341976,Sales,Assistant,Lead,Full-time,Remote,Punjab,City_11,37,Graduate,Arts,Other,Married,A,Star,No,N/A,N/A,Accepted,3,Low,1216833,231,4,122
1109,Employee_109,Male,26,2020-03-03,8,97710,1172520,IT,Analyst,Junior,Full-time,HQ,Gujarat,City_24,25,Diploma,Arts,Sikh,Single,A+,Reliable Professional,No,N/A,N/A,Pending,10,Very High,833171,968,3,164
1110,Employee_110,Male,53,2023-01-03,7,78456,941472,Customer Support,Manager,Lead,Full-time,Remote,Madhya Pradesh,City_34,15,Postgraduate,Commerce,Hindu,Married,A+,Star,No,N/A,N/A,Rejected,5,Medium,2177925,995,4,40
1111,Employee_111,Male,42,2022-09-23,9,114958,1379496,IT,Coordinator,Junior,Full-time,HQ,Karnataka,City_43,11,Diploma,Commerce,Buddhist,Married,A,Learner,No,N/A,N/A,Accepted,4,Very High,1767557,831,2,16
